name,calories,dietary,type,portion,image,prep_time,ingredients,instructions,protein,carbs,fat
Keto Fat Bombs,190,Keto,Snacks,2 pieces,/static/images/Keto Fat Bombs.jpg,15 min + chill,"Cream cheese, Butter, Cocoa powder, Stevia, Vanilla extract","Melt 1/2 cup coconut oil and 1/4 cup cream cheese.

Mix with 2 tbsp sweetener and 1 tsp vanilla essence.

Pour into silicone molds.

Chill until firm.

Store in refrigerator.",3,3,18
Grilled Salmon,340,Keto,Dinner,1 fillet,/static/images/Grilled Salmon.jpg,25 min,"Salmon fillet (150g), Lemon, Olive oil, Dill, Garlic, Salt, Pepper","Marinate 2 salmon fillets with salt, pepper, and lemon juice for 15 minutes.

Preheat grill or pan.

Cook salmon skin-side down for 4-5 minutes, flip and cook another 3-4 minutes till flakes easily.

Serve hot with steamed vegetables or salad.",28,2,22
Keto Smoothie,210,Keto,Breakfast,1 glass,/static/images/Keto Smoothie.jpg,10 min,"Avocado, Spinach, Coconut milk, Almond butter, Stevia","Blend 1 cup spinach, 1/2 avocado, 1 cup unsweetened almond milk, and 1 scoop protein powder till smooth.

Serve chilled.",5,8,16
Cheese Omelette,280,Keto,Breakfast,1 omelette,/static/images/Cheese Omelette.jpg,15 min,"Eggs (2), Cheese, Butter, Mushrooms, Spinach, Salt, Pepper","1. Whisk eggs. 2. Cook in butter, add cheese, mushrooms, spinach. 3. Fold and serve hot.",18,4,22
Keto Pizza,200,Keto,Breakfast,1 serving,static/images/Keto Pizza.jpg,18 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1 egg, 1 tbsp olive oil, 1/2 tsp baking powder, and salt.

Roll dough and bake crust at 180°C for 10-12 minutes.

Add keto-friendly toppings and cheese; bake another 10 minutes.

Serve hot.",12,3,15
Bacon Wrapped Asparagus,204,Keto,Lunch,1 serving,/static/images/baconwrappedasparagus.jpg,19 min,"Low-carb ingredients, healthy fats, protein as needed","Take 12 asparagus spears, trim ends.

Wrap each spear with 1 slice bacon.

Bake at 400°F (200°C) on a tray for 15-20 minutes until bacon is crispy.

Serve warm as appetizer.",13,4,16
Keto Bread,208,Keto,Dinner,1 serving,/static/images/Keto Bread.jpg,20 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 2 cups almond flour, 4 eggs, 1 tsp baking powder, and 1/2 tsp salt in a bowl.

Mix well and pour into greased loaf pan.

Bake at 180°C for 30-35 minutes until golden and cooked through.

Cool before slicing.",14,5,17
Cheese Crisps,212,Keto,Snacks,1 serving,/static/images/CHEESECRIPS.jpg,21 min,"Low-carb ingredients, healthy fats, protein as needed","Preheat oven to 375°F (190°C).

Place small mounds of shredded cheese on parchment paper, flatten slightly.

Bake for 5-7 minutes or until golden and crisp.

Let cool completely before removing.

Serve as a crunchy snack.",15,6,18
Keto Pancakes,216,Keto,Breakfast,1 serving,/static/images/Keto Pancakes.jpg,22 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 1/2 cup almond flour, 2 eggs, 1/4 tsp baking powder, and 2 tbsp almond milk.

Heat non-stick pan and pour batter to make pancakes.

Cook each side 2-3 minutes till golden brown.

Serve with butter or sugar-free syrup.",16,7,19
Stuffed Peppers,220,Keto,Lunch,1 serving,/static/images/Stuffed Peppers.jpg,23 min,"Low-carb ingredients, healthy fats, protein as needed","Select 4 large bell peppers and cut off tops. Remove seeds and membranes.

Prepare filling: sauté 1 chopped onion, 1 chopped tomato, 1/2 cup cooked rice, 1/2 cup cooked minced meat or beans, salt, pepper, and spices of choice. Mix well.

Stuff the mixture into the hollowed peppers.

Place stuffed peppers in a baking dish.

Bake at 180°C (350°F) for 30-35 minutes until peppers are tender and slightly charred on edges.

Garnish with chopped coriander or parsley before serving.",17,8,20
Keto Soup,224,Keto,Dinner,1 serving,/static/images/Keto Soup.jpg,24 min,"Low-carb ingredients, healthy fats, protein as needed","Cook mixed low-carb vegetables in chicken or vegetable broth till soft.

Blend to smooth consistency.

Season to taste and serve hot.",18,9,21
Lettuce Wraps,228,Keto,Snacks,1 serving,/static/images/Lettuce Wraps.jpg,25 min,"Low-carb ingredients, healthy fats, protein as needed","Use fresh large lettuce leaves as wrap base.

Fill with cooked chicken, tofu, or vegetable stir fry mixed with herbs and sauce.

Roll tightly and serve fresh.",19,10,22
Keto Cookies,232,Keto,Breakfast,1 serving,/static/images/Keto Cookies.jpg,26 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1/2 cup unsalted butter (softened), 1/3 cup sweetener, and 1 egg.

Shape dough into small balls, flatten on baking sheet.

Bake at 175°C for 12-15 minutes till golden.

Cool before serving.",20,3,23
Meat Balls,236,Keto,Lunch,1 serving,/static/images/Meat Balls.jpg,27 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 500g minced meat with 1 chopped onion, 2 cloves garlic (minced), salt, pepper, 1 egg, and chopped fresh coriander.

Shape mixture into small balls.

Heat oil and fry meatballs till browned and cooked through.

Alternatively, cook in a flavorful gravy and simmer.

Serve hot garnished with fresh herbs.",21,4,24
Keto Pizza,240,Keto,Dinner,1 serving,static/images/Keto Pizza.jpg,28 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1 egg, 1 tbsp olive oil, 1/2 tsp baking powder, and salt.

Roll dough and bake crust at 180°C for 10-12 minutes.

Add keto-friendly toppings and cheese; bake another 10 minutes.

Serve hot.",22,5,25
Bacon Wrapped Asparagus,244,Keto,Snacks,1 serving,/static/images/baconwrappedasparagus.jpg,29 min,"Low-carb ingredients, healthy fats, protein as needed","Take 12 asparagus spears, trim ends.

Wrap each spear with 1 slice bacon.

Bake at 400°F (200°C) on a tray for 15-20 minutes until bacon is crispy.

Serve warm as appetizer.",23,6,26
Keto Bread,248,Keto,Breakfast,1 serving,/static/images/Keto Bread.jpg,30 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 2 cups almond flour, 4 eggs, 1 tsp baking powder, and 1/2 tsp salt in a bowl.

Mix well and pour into greased loaf pan.

Bake at 180°C for 30-35 minutes until golden and cooked through.

Cool before slicing.",24,7,27
Cheese Crisps,252,Keto,Lunch,1 serving,/static/images/CHEESECRIPS.jpg,31 min,"Low-carb ingredients, healthy fats, protein as needed","Preheat oven to 375°F (190°C).

Place small mounds of shredded cheese on parchment paper, flatten slightly.

Bake for 5-7 minutes or until golden and crisp.

Let cool completely before removing.

Serve as a crunchy snack.",25,8,28
Keto Pancakes,256,Keto,Dinner,1 serving,/static/images/Keto Pancakes.jpg,32 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 1/2 cup almond flour, 2 eggs, 1/4 tsp baking powder, and 2 tbsp almond milk.

Heat non-stick pan and pour batter to make pancakes.

Cook each side 2-3 minutes till golden brown.

Serve with butter or sugar-free syrup.",26,9,29
Stuffed Peppers,260,Keto,Snacks,1 serving,/static/images/Stuffed Peppers.jpg,33 min,"Low-carb ingredients, healthy fats, protein as needed","Select 4 large bell peppers and cut off tops. Remove seeds and membranes.

Prepare filling: sauté 1 chopped onion, 1 chopped tomato, 1/2 cup cooked rice, 1/2 cup cooked minced meat or beans, salt, pepper, and spices of choice. Mix well.

Stuff the mixture into the hollowed peppers.

Place stuffed peppers in a baking dish.

Bake at 180°C (350°F) for 30-35 minutes until peppers are tender and slightly charred on edges.

Garnish with chopped coriander or parsley before serving.",27,10,30
Keto Soup,264,Keto,Breakfast,1 serving,/static/images/Keto Soup.jpg,34 min,"Low-carb ingredients, healthy fats, protein as needed","Cook mixed low-carb vegetables in chicken or vegetable broth till soft.

Blend to smooth consistency.

Season to taste and serve hot.",28,3,31
Lettuce Wraps,268,Keto,Lunch,1 serving,/static/images/Lettuce Wraps.jpg,35 min,"Low-carb ingredients, healthy fats, protein as needed","Use fresh large lettuce leaves as wrap base.

Fill with cooked chicken, tofu, or vegetable stir fry mixed with herbs and sauce.

Roll tightly and serve fresh.",29,4,32
Keto Cookies,272,Keto,Dinner,1 serving,/static/images/Keto Cookies.jpg,36 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1/2 cup unsalted butter (softened), 1/3 cup sweetener, and 1 egg.

Shape dough into small balls, flatten on baking sheet.

Bake at 175°C for 12-15 minutes till golden.

Cool before serving.",12,5,33
Meat Balls,276,Keto,Snacks,1 serving,/static/images/Meat Balls.jpg,37 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 500g minced meat with 1 chopped onion, 2 cloves garlic (minced), salt, pepper, 1 egg, and chopped fresh coriander.

Shape mixture into small balls.

Heat oil and fry meatballs till browned and cooked through.

Alternatively, cook in a flavorful gravy and simmer.

Serve hot garnished with fresh herbs.",13,6,34
Keto Pizza,280,Keto,Breakfast,1 serving,static/images/Keto Pizza.jpg,38 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1 egg, 1 tbsp olive oil, 1/2 tsp baking powder, and salt.

Roll dough and bake crust at 180°C for 10-12 minutes.

Add keto-friendly toppings and cheese; bake another 10 minutes.

Serve hot.",14,7,15
Bacon Wrapped Asparagus,284,Keto,Lunch,1 serving,/static/images/baconwrappedasparagus.jpg,39 min,"Low-carb ingredients, healthy fats, protein as needed","Take 12 asparagus spears, trim ends.

Wrap each spear with 1 slice bacon.

Bake at 400°F (200°C) on a tray for 15-20 minutes until bacon is crispy.

Serve warm as appetizer.",15,8,16
Keto Bread,288,Keto,Dinner,1 serving,/static/images/Keto Bread.jpg,40 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 2 cups almond flour, 4 eggs, 1 tsp baking powder, and 1/2 tsp salt in a bowl.

Mix well and pour into greased loaf pan.

Bake at 180°C for 30-35 minutes until golden and cooked through.

Cool before slicing.",16,9,17
Cheese Crisps,292,Keto,Snacks,1 serving,/static/images/CHEESECRIPS.jpg,41 min,"Low-carb ingredients, healthy fats, protein as needed","Preheat oven to 375°F (190°C).

Place small mounds of shredded cheese on parchment paper, flatten slightly.

Bake for 5-7 minutes or until golden and crisp.

Let cool completely before removing.

Serve as a crunchy snack.",17,10,18
Keto Pancakes,296,Keto,Breakfast,1 serving,/static/images/Keto Pancakes.jpg,42 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 1/2 cup almond flour, 2 eggs, 1/4 tsp baking powder, and 2 tbsp almond milk.

Heat non-stick pan and pour batter to make pancakes.

Cook each side 2-3 minutes till golden brown.

Serve with butter or sugar-free syrup.",18,3,19
Stuffed Peppers,300,Keto,Lunch,1 serving,/static/images/Stuffed Peppers.jpg,43 min,"Low-carb ingredients, healthy fats, protein as needed","Select 4 large bell peppers and cut off tops. Remove seeds and membranes.

Prepare filling: sauté 1 chopped onion, 1 chopped tomato, 1/2 cup cooked rice, 1/2 cup cooked minced meat or beans, salt, pepper, and spices of choice. Mix well.

Stuff the mixture into the hollowed peppers.

Place stuffed peppers in a baking dish.

Bake at 180°C (350°F) for 30-35 minutes until peppers are tender and slightly charred on edges.

Garnish with chopped coriander or parsley before serving.",19,4,20
Keto Soup,304,Keto,Dinner,1 serving,/static/images/Keto Soup.jpg,44 min,"Low-carb ingredients, healthy fats, protein as needed","Cook mixed low-carb vegetables in chicken or vegetable broth till soft.

Blend to smooth consistency.

Season to taste and serve hot.",20,5,21
Lettuce Wraps,308,Keto,Snacks,1 serving,/static/images/Lettuce Wraps.jpg,45 min,"Low-carb ingredients, healthy fats, protein as needed","Use fresh large lettuce leaves as wrap base.

Fill with cooked chicken, tofu, or vegetable stir fry mixed with herbs and sauce.

Roll tightly and serve fresh.",21,6,22
Keto Cookies,312,Keto,Breakfast,1 serving,/static/images/Keto Cookies.jpg,46 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1/2 cup unsalted butter (softened), 1/3 cup sweetener, and 1 egg.

Shape dough into small balls, flatten on baking sheet.

Bake at 175°C for 12-15 minutes till golden.

Cool before serving.",22,7,23
Meat Balls,316,Keto,Lunch,1 serving,/static/images/Meat Balls.jpg,47 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 500g minced meat with 1 chopped onion, 2 cloves garlic (minced), salt, pepper, 1 egg, and chopped fresh coriander.

Shape mixture into small balls.

Heat oil and fry meatballs till browned and cooked through.

Alternatively, cook in a flavorful gravy and simmer.

Serve hot garnished with fresh herbs.",23,8,24
Keto Pizza,320,Keto,Dinner,1 serving,static/images/Keto Pizza.jpg,48 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1 egg, 1 tbsp olive oil, 1/2 tsp baking powder, and salt.

Roll dough and bake crust at 180°C for 10-12 minutes.

Add keto-friendly toppings and cheese; bake another 10 minutes.

Serve hot.",24,9,25
Bacon Wrapped Asparagus,324,Keto,Snacks,1 serving,/static/images/baconwrappedasparagus.jpg,49 min,"Low-carb ingredients, healthy fats, protein as needed","Take 12 asparagus spears, trim ends.

Wrap each spear with 1 slice bacon.

Bake at 400°F (200°C) on a tray for 15-20 minutes until bacon is crispy.

Serve warm as appetizer.",25,10,26
Keto Bread,328,Keto,Breakfast,1 serving,/static/images/Keto Bread.jpg,50 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 2 cups almond flour, 4 eggs, 1 tsp baking powder, and 1/2 tsp salt in a bowl.

Mix well and pour into greased loaf pan.

Bake at 180°C for 30-35 minutes until golden and cooked through.

Cool before slicing.",26,3,27
Cheese Crisps,332,Keto,Lunch,1 serving,/static/images/CHEESECRIPS.jpg,51 min,"Low-carb ingredients, healthy fats, protein as needed","Preheat oven to 375°F (190°C).

Place small mounds of shredded cheese on parchment paper, flatten slightly.

Bake for 5-7 minutes or until golden and crisp.

Let cool completely before removing.

Serve as a crunchy snack.",27,4,28
Keto Pancakes,336,Keto,Dinner,1 serving,/static/images/Keto Pancakes.jpg,52 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 1/2 cup almond flour, 2 eggs, 1/4 tsp baking powder, and 2 tbsp almond milk.

Heat non-stick pan and pour batter to make pancakes.

Cook each side 2-3 minutes till golden brown.

Serve with butter or sugar-free syrup.",28,5,29
Stuffed Peppers,340,Keto,Snacks,1 serving,/static/images/Stuffed Peppers.jpg,53 min,"Low-carb ingredients, healthy fats, protein as needed","Select 4 large bell peppers and cut off tops. Remove seeds and membranes.

Prepare filling: sauté 1 chopped onion, 1 chopped tomato, 1/2 cup cooked rice, 1/2 cup cooked minced meat or beans, salt, pepper, and spices of choice. Mix well.

Stuff the mixture into the hollowed peppers.

Place stuffed peppers in a baking dish.

Bake at 180°C (350°F) for 30-35 minutes until peppers are tender and slightly charred on edges.

Garnish with chopped coriander or parsley before serving.",29,6,30
Keto Soup,344,Keto,Breakfast,1 serving,/static/images/Keto Soup.jpg,54 min,"Low-carb ingredients, healthy fats, protein as needed","Cook mixed low-carb vegetables in chicken or vegetable broth till soft.

Blend to smooth consistency.

Season to taste and serve hot.",12,7,31
Lettuce Wraps,348,Keto,Lunch,1 serving,/static/images/Lettuce Wraps.jpg,55 min,"Low-carb ingredients, healthy fats, protein as needed","Use fresh large lettuce leaves as wrap base.

Fill with cooked chicken, tofu, or vegetable stir fry mixed with herbs and sauce.

Roll tightly and serve fresh.",13,8,32
Keto Cookies,352,Keto,Dinner,1 serving,/static/images/Keto Cookies.jpg,56 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1/2 cup unsalted butter (softened), 1/3 cup sweetener, and 1 egg.

Shape dough into small balls, flatten on baking sheet.

Bake at 175°C for 12-15 minutes till golden.

Cool before serving.",14,9,33
Meat Balls,356,Keto,Snacks,1 serving,/static/images/Meat Balls.jpg,57 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 500g minced meat with 1 chopped onion, 2 cloves garlic (minced), salt, pepper, 1 egg, and chopped fresh coriander.

Shape mixture into small balls.

Heat oil and fry meatballs till browned and cooked through.

Alternatively, cook in a flavorful gravy and simmer.

Serve hot garnished with fresh herbs.",15,10,34
Keto Pizza,360,Keto,Breakfast,1 serving,static/images/Keto Pizza.jpg,18 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1 egg, 1 tbsp olive oil, 1/2 tsp baking powder, and salt.

Roll dough and bake crust at 180°C for 10-12 minutes.

Add keto-friendly toppings and cheese; bake another 10 minutes.

Serve hot.",16,3,15
Bacon Wrapped Asparagus,364,Keto,Lunch,1 serving,/static/images/baconwrappedasparagus.jpg,19 min,"Low-carb ingredients, healthy fats, protein as needed","Take 12 asparagus spears, trim ends.

Wrap each spear with 1 slice bacon.

Bake at 400°F (200°C) on a tray for 15-20 minutes until bacon is crispy.

Serve warm as appetizer.",17,4,16
Keto Bread,368,Keto,Dinner,1 serving,/static/images/Keto Bread.jpg,20 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 2 cups almond flour, 4 eggs, 1 tsp baking powder, and 1/2 tsp salt in a bowl.

Mix well and pour into greased loaf pan.

Bake at 180°C for 30-35 minutes until golden and cooked through.

Cool before slicing.",18,5,17
Cheese Crisps,372,Keto,Snacks,1 serving,/static/images/CHEESECRIPS.jpg,21 min,"Low-carb ingredients, healthy fats, protein as needed","Preheat oven to 375°F (190°C).

Place small mounds of shredded cheese on parchment paper, flatten slightly.

Bake for 5-7 minutes or until golden and crisp.

Let cool completely before removing.

Serve as a crunchy snack.",19,6,18
Keto Pancakes,376,Keto,Breakfast,1 serving,/static/images/Keto Pancakes.jpg,22 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 1/2 cup almond flour, 2 eggs, 1/4 tsp baking powder, and 2 tbsp almond milk.

Heat non-stick pan and pour batter to make pancakes.

Cook each side 2-3 minutes till golden brown.

Serve with butter or sugar-free syrup.",20,7,19
Stuffed Peppers,380,Keto,Lunch,1 serving,/static/images/Stuffed Peppers.jpg,23 min,"Low-carb ingredients, healthy fats, protein as needed","Select 4 large bell peppers and cut off tops. Remove seeds and membranes.

Prepare filling: sauté 1 chopped onion, 1 chopped tomato, 1/2 cup cooked rice, 1/2 cup cooked minced meat or beans, salt, pepper, and spices of choice. Mix well.

Stuff the mixture into the hollowed peppers.

Place stuffed peppers in a baking dish.

Bake at 180°C (350°F) for 30-35 minutes until peppers are tender and slightly charred on edges.

Garnish with chopped coriander or parsley before serving.",21,8,20
Keto Soup,384,Keto,Dinner,1 serving,/static/images/Keto Soup.jpg,24 min,"Low-carb ingredients, healthy fats, protein as needed","Cook mixed low-carb vegetables in chicken or vegetable broth till soft.

Blend to smooth consistency.

Season to taste and serve hot.",22,9,21
Lettuce Wraps,388,Keto,Snacks,1 serving,/static/images/Lettuce Wraps.jpg,25 min,"Low-carb ingredients, healthy fats, protein as needed","Use fresh large lettuce leaves as wrap base.

Fill with cooked chicken, tofu, or vegetable stir fry mixed with herbs and sauce.

Roll tightly and serve fresh.",23,10,22
Keto Cookies,392,Keto,Breakfast,1 serving,/static/images/Keto Cookies.jpg,26 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1/2 cup unsalted butter (softened), 1/3 cup sweetener, and 1 egg.

Shape dough into small balls, flatten on baking sheet.

Bake at 175°C for 12-15 minutes till golden.

Cool before serving.",24,3,23
Meat Balls,396,Keto,Lunch,1 serving,/static/images/Meat Balls.jpg,27 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 500g minced meat with 1 chopped onion, 2 cloves garlic (minced), salt, pepper, 1 egg, and chopped fresh coriander.

Shape mixture into small balls.

Heat oil and fry meatballs till browned and cooked through.

Alternatively, cook in a flavorful gravy and simmer.

Serve hot garnished with fresh herbs.",25,4,24
Keto Pizza,400,Keto,Dinner,1 serving,static/images/Keto Pizza.jpg,28 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1 egg, 1 tbsp olive oil, 1/2 tsp baking powder, and salt.

Roll dough and bake crust at 180°C for 10-12 minutes.

Add keto-friendly toppings and cheese; bake another 10 minutes.

Serve hot.",26,5,25
Bacon Wrapped Asparagus,404,Keto,Snacks,1 serving,/static/images/baconwrappedasparagus.jpg,29 min,"Low-carb ingredients, healthy fats, protein as needed","Take 12 asparagus spears, trim ends.

Wrap each spear with 1 slice bacon.

Bake at 400°F (200°C) on a tray for 15-20 minutes until bacon is crispy.

Serve warm as appetizer.",27,6,26
Keto Bread,408,Keto,Breakfast,1 serving,/static/images/Keto Bread.jpg,30 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 2 cups almond flour, 4 eggs, 1 tsp baking powder, and 1/2 tsp salt in a bowl.

Mix well and pour into greased loaf pan.

Bake at 180°C for 30-35 minutes until golden and cooked through.

Cool before slicing.",28,7,27
Cheese Crisps,412,Keto,Lunch,1 serving,/static/images/CHEESECRIPS.jpg,31 min,"Low-carb ingredients, healthy fats, protein as needed","Preheat oven to 375°F (190°C).

Place small mounds of shredded cheese on parchment paper, flatten slightly.

Bake for 5-7 minutes or until golden and crisp.

Let cool completely before removing.

Serve as a crunchy snack.",29,8,28
Keto Pancakes,416,Keto,Dinner,1 serving,/static/images/Keto Pancakes.jpg,32 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 1/2 cup almond flour, 2 eggs, 1/4 tsp baking powder, and 2 tbsp almond milk.

Heat non-stick pan and pour batter to make pancakes.

Cook each side 2-3 minutes till golden brown.

Serve with butter or sugar-free syrup.",12,9,29
Stuffed Peppers,420,Keto,Snacks,1 serving,/static/images/Stuffed Peppers.jpg,33 min,"Low-carb ingredients, healthy fats, protein as needed","Select 4 large bell peppers and cut off tops. Remove seeds and membranes.

Prepare filling: sauté 1 chopped onion, 1 chopped tomato, 1/2 cup cooked rice, 1/2 cup cooked minced meat or beans, salt, pepper, and spices of choice. Mix well.

Stuff the mixture into the hollowed peppers.

Place stuffed peppers in a baking dish.

Bake at 180°C (350°F) for 30-35 minutes until peppers are tender and slightly charred on edges.

Garnish with chopped coriander or parsley before serving.",13,10,30
Keto Soup,424,Keto,Breakfast,1 serving,/static/images/Keto Soup.jpg,34 min,"Low-carb ingredients, healthy fats, protein as needed","Cook mixed low-carb vegetables in chicken or vegetable broth till soft.

Blend to smooth consistency.

Season to taste and serve hot.",14,3,31
Lettuce Wraps,428,Keto,Lunch,1 serving,/static/images/Lettuce Wraps.jpg,35 min,"Low-carb ingredients, healthy fats, protein as needed","Use fresh large lettuce leaves as wrap base.

Fill with cooked chicken, tofu, or vegetable stir fry mixed with herbs and sauce.

Roll tightly and serve fresh.",15,4,32
Keto Cookies,432,Keto,Dinner,1 serving,/static/images/Keto Cookies.jpg,36 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1/2 cup unsalted butter (softened), 1/3 cup sweetener, and 1 egg.

Shape dough into small balls, flatten on baking sheet.

Bake at 175°C for 12-15 minutes till golden.

Cool before serving.",16,5,33
Meat Balls,436,Keto,Snacks,1 serving,/static/images/Meat Balls.jpg,37 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 500g minced meat with 1 chopped onion, 2 cloves garlic (minced), salt, pepper, 1 egg, and chopped fresh coriander.

Shape mixture into small balls.

Heat oil and fry meatballs till browned and cooked through.

Alternatively, cook in a flavorful gravy and simmer.

Serve hot garnished with fresh herbs.",17,6,34
Keto Pizza,440,Keto,Breakfast,1 serving,static/images/Keto Pizza.jpg,38 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1 egg, 1 tbsp olive oil, 1/2 tsp baking powder, and salt.

Roll dough and bake crust at 180°C for 10-12 minutes.

Add keto-friendly toppings and cheese; bake another 10 minutes.

Serve hot.",18,7,15
Bacon Wrapped Asparagus,444,Keto,Lunch,1 serving,/static/images/baconwrappedasparagus.jpg,39 min,"Low-carb ingredients, healthy fats, protein as needed","Take 12 asparagus spears, trim ends.

Wrap each spear with 1 slice bacon.

Bake at 400°F (200°C) on a tray for 15-20 minutes until bacon is crispy.

Serve warm as appetizer.",19,8,16
Keto Bread,448,Keto,Dinner,1 serving,/static/images/Keto Bread.jpg,40 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 2 cups almond flour, 4 eggs, 1 tsp baking powder, and 1/2 tsp salt in a bowl.

Mix well and pour into greased loaf pan.

Bake at 180°C for 30-35 minutes until golden and cooked through.

Cool before slicing.",20,9,17
Cheese Crisps,452,Keto,Snacks,1 serving,/static/images/CHEESECRIPS.jpg,41 min,"Low-carb ingredients, healthy fats, protein as needed","Preheat oven to 375°F (190°C).

Place small mounds of shredded cheese on parchment paper, flatten slightly.

Bake for 5-7 minutes or until golden and crisp.

Let cool completely before removing.

Serve as a crunchy snack.",21,10,18
Keto Pancakes,456,Keto,Breakfast,1 serving,/static/images/Keto Pancakes.jpg,42 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 1/2 cup almond flour, 2 eggs, 1/4 tsp baking powder, and 2 tbsp almond milk.

Heat non-stick pan and pour batter to make pancakes.

Cook each side 2-3 minutes till golden brown.

Serve with butter or sugar-free syrup.",22,3,19
Stuffed Peppers,460,Keto,Lunch,1 serving,/static/images/Stuffed Peppers.jpg,43 min,"Low-carb ingredients, healthy fats, protein as needed","Select 4 large bell peppers and cut off tops. Remove seeds and membranes.

Prepare filling: sauté 1 chopped onion, 1 chopped tomato, 1/2 cup cooked rice, 1/2 cup cooked minced meat or beans, salt, pepper, and spices of choice. Mix well.

Stuff the mixture into the hollowed peppers.

Place stuffed peppers in a baking dish.

Bake at 180°C (350°F) for 30-35 minutes until peppers are tender and slightly charred on edges.

Garnish with chopped coriander or parsley before serving.",23,4,20
Keto Soup,464,Keto,Dinner,1 serving,/static/images/Keto Soup.jpg,44 min,"Low-carb ingredients, healthy fats, protein as needed","Cook mixed low-carb vegetables in chicken or vegetable broth till soft.

Blend to smooth consistency.

Season to taste and serve hot.",24,5,21
Lettuce Wraps,468,Keto,Snacks,1 serving,/static/images/Lettuce Wraps.jpg,45 min,"Low-carb ingredients, healthy fats, protein as needed","Use fresh large lettuce leaves as wrap base.

Fill with cooked chicken, tofu, or vegetable stir fry mixed with herbs and sauce.

Roll tightly and serve fresh.",25,6,22
Keto Cookies,472,Keto,Breakfast,1 serving,/static/images/Keto Cookies.jpg,46 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1/2 cup unsalted butter (softened), 1/3 cup sweetener, and 1 egg.

Shape dough into small balls, flatten on baking sheet.

Bake at 175°C for 12-15 minutes till golden.

Cool before serving.",26,7,23
Meat Balls,476,Keto,Lunch,1 serving,/static/images/Meat Balls.jpg,47 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 500g minced meat with 1 chopped onion, 2 cloves garlic (minced), salt, pepper, 1 egg, and chopped fresh coriander.

Shape mixture into small balls.

Heat oil and fry meatballs till browned and cooked through.

Alternatively, cook in a flavorful gravy and simmer.

Serve hot garnished with fresh herbs.",27,8,24
Keto Pizza,480,Keto,Dinner,1 serving,static/images/Keto Pizza.jpg,48 min,"Low-carb ingredients, healthy fats, protein as needed","Mix 2 cups almond flour, 1 egg, 1 tbsp olive oil, 1/2 tsp baking powder, and salt.

Roll dough and bake crust at 180°C for 10-12 minutes.

Add keto-friendly toppings and cheese; bake another 10 minutes.

Serve hot.",28,9,25
Bacon Wrapped Asparagus,484,Keto,Snacks,1 serving,/static/images/baconwrappedasparagus.jpg,49 min,"Low-carb ingredients, healthy fats, protein as needed","Take 12 asparagus spears, trim ends.

Wrap each spear with 1 slice bacon.

Bake at 400°F (200°C) on a tray for 15-20 minutes until bacon is crispy.

Serve warm as appetizer.",29,10,26
Keto Bread,488,Keto,Breakfast,1 serving,/static/images/Keto Bread.jpg,50 min,"Low-carb ingredients, healthy fats, protein as needed","Combine 2 cups almond flour, 4 eggs, 1 tsp baking powder, and 1/2 tsp salt in a bowl.

Mix well and pour into greased loaf pan.

Bake at 180°C for 30-35 minutes until golden and cooked through.

Cool before slicing.",12,3,27
